lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,alpha
# Adaptation terminated
# Step size = 0.270012
# Diagonal elements of inverse mass matrix:
# 0.000100163, 6.76743e-05, 6.93655e-05, 3.01255e-05, 3.4965e-05, 3.51349e-05, 3.56427e-05, 3.62159e-05, 3.00141e-05, 3.80831e-05, 3.42307e-05, 3.44508e-05, 3.47473e-05, 3.2651e-05, 2.37133e-05, 2.3712e-05, 2.10431e-05, 2.51543e-05, 2.33453e-05, 2.21661e-05, 2.6378e-05
-352160,1,0.270012,4,15,0,352173,-3.09,-2.51763,0.0303164,-0.0579656,-0.0144845,-0.014527,-0.0300245,-0.000758148,-0.0563708,0.0541115,-0.00546168,0.0172612,-0.00670788,0.0139422,-0.00940887,0.0294049,-0.0351342,-0.00215745,-0.00540985,-0.0139124,-0.0285533,1.35414
-352157,0.989532,0.270012,4,15,0,352170,-3.08483,-2.51608,0.0303902,-0.0577866,-0.0177386,-0.0145106,-0.028827,-0.00260578,-0.0556162,0.057516,-0.0134659,0.0134437,-0.00269029,0.0108109,-0.0102486,0.0267742,-0.0323707,0.00222005,-0.00955517,-0.0157314,-0.0263266,1.35514
-352158,0.933129,0.270012,4,15,0,352168,-3.06132,-2.50375,0.0299498,-0.0638938,-0.0147043,-0.0112295,-0.0245722,0.00296506,-0.0492876,0.061768,0.00376187,0.0200557,0.00850749,0.0120114,-0.00878699,0.0255116,-0.0392573,-0.00337743,-0.00724086,-0.0278334,-0.0250934,1.34918
-352164,0.929279,0.270012,4,15,0,352170,-3.09537,-2.5294,0.0307006,-0.0553022,-0.015379,-0.00787667,-0.0300702,0.00581344,-0.0642609,0.0681606,-0.00248972,0.0255516,0.002989,0.0201819,-0.00509085,0.0227103,-0.0431205,-0.00131338,-0.00342938,-0.0245762,-0.0224759,1.35935
-352164,0.995487,0.270012,4,15,0,352173,-3.05946,-2.49828,0.0298211,-0.0616264,-0.0170399,-0.0177649,-0.0292274,-0.00593266,-0.047484,0.0531915,-0.00490096,0.0107203,0.00286578,0.00367232,-0.0118977,0.0286954,-0.0292122,0.000574407,-0.0134831,-0.0204768,-0.0287896,1.34745
-352161,0.990103,0.270012,4,15,0,352173,-3.0696,-2.5074,0.0301018,-0.0565441,-0.0078883,-0.0187019,-0.0268143,0.00318452,-0.0568755,0.0692103,0.000109028,0.0146644,0.00392937,0.00893193,-0.00846071,0.0243422,-0.0395332,-0.000614929,0.000850079,-0.021155,-0.0206551,1.35123
-352162,0.825425,0.270012,4,15,0,352171,-3.07278,-2.5051,0.0302054,-0.0588519,-0.0172152,-0.00586613,-0.0315842,-0.00624647,-0.0469846,0.0563587,-0.00488011,0.0270297,-0.00091835,0.0186112,-0.0101648,0.0271612,-0.0371467,-0.00074699,-0.0164789,-0.0216005,-0.0285828,1.35263
-352162,0.989367,0.270012,4,15,0,352174,-3.07982,-2.50909,0.0303619,-0.0574446,-0.0140271,-0.0183067,-0.0325753,0.00370005,-0.0611107,0.0546098,-0.00821479,0.0118606,0.011027,0.00550387,-0.00719119,0.0286272,-0.036421,0.00218162,-0.00419248,-0.027646,-0.0222822,1.35475
-352159,0.995104,0.270012,4,15,0,352171,-3.08153,-2.5164,0.0303698,-0.0598338,-0.023418,-0.00622884,-0.0280687,-0.00531273,-0.0445854,0.062714,0.0013797,0.023464,-0.00346453,0.0169262,-0.00949804,0.0244105,-0.0324911,-0.00118408,-0.0101654,-0.0210114,-0.0301263,1.35486
-352158,0.977797,0.270012,4,15,0,352167,-3.07982,-2.51403,0.0303116,-0.0607999,-0.0189952,-0.0184515,-0.0288703,0.00181985,-0.0628208,0.0560506,-0.00879386,0.0120033,0.000705832,0.00474109,-0.00496297,0.0236659,-0.0364967,-0.00236977,-0.0110258,-0.0252131,-0.0255359,1.35407
